"V1","KO","n","Definition"
"KO:K03164","K03164",1193,"TOP2; DNA topoisomerase II [EC:5.6.2.2]"
"KO:K09668","K09668",2,"LARGE; glycosyltransferase-like protein LARGE [EC:2.4.2.- 2.4.1.-]"
"KO:K09687","K09687",2,"NA"
"KO:K09792","K09792",2,"K09792; uncharacterized protein"
"KO:K09811","K09811",2,"ftsX; cell division transport system permease protein"
"KO:K09815","K09815",2,"znuA; zinc transport system substrate-binding protein"
"KO:K10078","K10078",2,"CHODL; chondrolectin"
"KO:K10085","K10085",2,"EDEM2; ER degradation enhancer, mannosidase alpha-like 2"
"KO:K10105","K10105",2,"LIPT1; lipoyltransferase 1"
"KO:K10133","K10133",2,"TP53I3; tumor protein p53-inducible protein 3 [EC:1.-.-.-]"
"KO:K10143","K10143",2,"RFWD2, COP1; E3 ubiquitin-protein ligase RFWD2 [EC:2.3.2.27]"
"KO:K10215","K10215",2,"ethA; monooxygenase [EC:1.14.13.-]"
"KO:K10218","K10218",2,"ligK, galC; 4-hydroxy-4-methyl-2-oxoglutarate aldolase [EC:4.1.3.17]"
"KO:K10297","K10297",2,"FBXO11; F-box protein 11"
"KO:K10325","K10325",2,"ASB3; ankyrin repeat and SOCS box protein 3"
"KO:K10358","K10358",2,"MYO6; myosin VI"
"KO:K10360","K10360",2,"MYO9; myosin IX"
"KO:K10386","K10386",2,"PPL; periplakin"
"KO:K10391","K10391",2,"TUBE; tubulin epsilon"
"KO:K10407","K10407",2,"KLC; kinesin light chain"
"KO:K10409","K10409",2,"DNAI1; dynein axonemal intermediate chain 1"
"KO:K10411","K10411",2,"DNAL1; dynein axonemal light chain 1"
"KO:K10424","K10424",2,"DCTN2; dynactin 2"
"KO:K10440","K10440",2,"rbsC; ribose transport system permease protein"
"KO:K10460","K10460",2,"KLHL23; kelch-like protein 23"
"KO:K10622","K10622",2,"cmtD, dhbB; HCOMODA/2-hydroxy-3-carboxy-muconic semialdehyde decarboxylase [EC:4.1.1.-]"
"KO:K10695","K10695",2,"RNF1_2; E3 ubiquitin-protein ligase RNF1/2 [EC:2.3.2.27]"
"KO:K10705","K10705",2,"GAPDHS; glyceraldehyde-3-phosphate dehydrogenase (phosphorylating), spermatogenic [EC:1.2.1.12]"
"KO:K10729","K10729",2,"SLD2; DNA replication regulator SLD2"
"KO:K10745","K10745",2,"RNASEH2C; ribonuclease H2 subunit C"
"KO:K10819","K10819",2,"E2.7.13.3; histidine kinase [EC:2.7.13.3]"
"KO:K10827","K10827",2,"NA"
"KO:K10902","K10902",2,"RECQL5; ATP-dependent DNA helicase Q5 [EC:5.6.2.4]"
"KO:K10976","K10976",2,"ERO1LB; ERO1-like protein beta [EC:1.8.4.-]"
"KO:K10992","K10992",2,"SFR1; Swi5-dependent recombination DNA repair protein 1"
"KO:K11004","K11004",2,"hlyB, cyaB; ATP-binding cassette, subfamily B, bacterial HlyB/CyaB"
"KO:K11084","K11084",2,"phnT; 2-aminoethylphosphonate transport system ATP-binding protein"
"KO:K11091","K11091",2,"SNRPA; U1 small nuclear ribonucleoprotein A"
"KO:K11099","K11099",2,"SNRPG, SMG; small nuclear ribonucleoprotein G"
"KO:K11144","K11144",2,"dnaI; primosomal protein DnaI"
"KO:K11161","K11161",2,"RDH13; retinol dehydrogenase 13 [EC:1.1.1.300]"
"KO:K11162","K11162",2,"RDH14; retinol dehydrogenase 14 [EC:1.1.1.-]"
"KO:K11209","K11209",2,"yghU, yfcG; GSH-dependent disulfide-bond oxidoreductase [EC:1.8.4.-]"
"KO:K11255","K11255",2,"NCOA2, TIF2, KAT13C; nuclear receptor coactivator 2"
"KO:K11276","K11276",2,"NPM1; nucleophosmin 1"
"KO:K11298","K11298",2,"HMGXB4, HMG2L1; HMG domain-containing protein 4"
"KO:K11455","K11455",2,"CBX8, PC3; chromobox protein 8"
"KO:K11456","K11456",2,"PHC1, EDR1; polyhomeotic-like protein 1"
"KO:K11473","K11473",2,"glcF; glycolate oxidase iron-sulfur subunit"
"KO:K11499","K11499",2,"CENPF; centromere protein F"
"KO:K11519","K11519",2,"DERL1; Derlin-1"
"KO:K11567","K11567",2,"DAD2, HSK1; DASH complex subunit DAD2"
"KO:K11577","K11577",2,"KNTC1, ROD; kinetochore-associated protein 1"
"KO:K11599","K11599",2,"POMP, UMP1; proteasome maturation protein"
"KO:K11643","K11643",2,"CHD4, MI2B; chromodomain-helicase-DNA-binding protein 4 [EC:5.6.2.-]"
"KO:K11652","K11652",2,"ACTL6B; actin-like protein 6B"
"KO:K11657","K11657",2,"RSF1; remodeling and spacing factor 1"
"KO:K11674","K11674",2,"MCRS1, INO80Q; microspherule protein 1"
"KO:K11724","K11724",2,"BRDT; bromodomain testis-specific protein"
"KO:K11733","K11733",2,"lysP; lysine-specific permease"
"KO:K11749","K11749",2,"rseP; regulator of sigma E protease [EC:3.4.24.-]"
"KO:K11751","K11751",2,"ushA; 5'-nucleotidase / UDP-sugar diphosphatase [EC:3.1.3.5 3.6.1.45]"
"KO:K11752","K11752",2,"ribD; diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:3.5.4.26 1.1.1.193]"
"KO:K11800","K11800",2,"DCAF5, BCRP2; DDB1- and CUL4-associated factor 5"
"KO:K11842","K11842",2,"USP12_46; ubiquitin carboxyl-terminal hydrolase 12/46 [EC:3.4.19.12]"
"KO:K11852","K11852",2,"USP31; ubiquitin carboxyl-terminal hydrolase 31 [EC:3.4.19.12]"
"KO:K11864","K11864",2,"BRCC3, BRCC36; BRCA1/BRCA2-containing complex subunit 3 [EC:3.4.19.-]"
"KO:K11871","K11871",2,"UBP7_11; ubiquitin carboxyl-terminal hydrolase 7/11 [EC:3.4.19.12]"
"KO:K11981","K11981",2,"RNF41, NRDP1; E3 ubiquitin-protein ligase NRDP1 [EC:2.3.2.27]"
"KO:K12020","K12020",2,"TRIM44; tripartite motif-containing protein 44"
"KO:K12035","K12035",2,"TRIM71; tripartite motif-containing protein 71 [EC:2.3.2.27]"
"KO:K12185","K12185",2,"VPS37; ESCRT-I complex subunit VPS37"
"KO:K12244","K12244",2,"GNT1; [Skp1-protein]-hydroxyproline N-acetylglucosaminyltransferase [EC:2.4.1.229]"
"KO:K12249","K12249",2,"TRI5; trichodiene synthase [EC:4.2.3.6]"
"KO:K12271","K12271",2,"SRP43, CAO; signal recognition particle 43 kDa protein"
"KO:K12284","K12284",2,"mshN; MSHA biogenesis protein MshN"
"KO:K12306","K12306",2,"MSFD7, SLC49A4; MFS transporter, FLVCR family, MFS-domain-containing protein 7"
"KO:K12309","K12309",2,"GLB1, ELNR1; beta-galactosidase [EC:3.2.1.23]"
"KO:K12329","K12329",2,"PPP1R12B, MYPT2; protein phosphatase 1 regulatory subunit 12B"
"KO:K12431","K12431",2,"pks2; phthioceranic/hydroxyphthioceranic acid synthase [EC:2.3.1.287]"
"KO:K12470","K12470",2,"SH3KBP1, CIN85; SH3 domain-containing kinase-binding protein 1"
"KO:K12478","K12478",2,"EEA1; early endosome antigen 1"
"KO:K12506","K12506",2,"ispDF; 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase / 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:2.7.7.60 4.6.1.12]"
"KO:K12508","K12508",2,"fcs; feruloyl-CoA synthase [EC:6.2.1.34]"
"KO:K12516","K12516",2,"bigA; putative surface-exposed virulence protein"
"KO:K12574","K12574",2,"rnj; ribonuclease J [EC:3.1.-.-]"
"KO:K12681","K12681",2,"prn; pertactin"
"KO:K12755","K12755",2,"MYL9; myosin regulatory light chain 9"
"KO:K12766","K12766",2,"MDS1, RIM11; serine/threonine-protein kinase MDS1/RIM11 [EC:2.7.11.1]"
"KO:K12768","K12768",2,"ZIP1; synaptonemal complex protein ZIP1"
"KO:K12838","K12838",2,"PUF60; poly(U)-binding-splicing factor PUF60"
"KO:K12886","K12886",2,"HNRNPK; heterogeneous nuclear ribonucleoprotein K"
"KO:K12972","K12972",2,"ghrA; glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]"
"KO:K13010","K13010",2,"per, rfbE; perosamine synthetase [EC:2.6.1.102]"
"KO:K13015","K13015",2,"wbpA; UDP-N-acetyl-D-glucosamine dehydrogenase [EC:1.1.1.136]"
"KO:K13021","K13021",2,"ttuB; MFS transporter, ACS family, tartrate transporter"
"KO:K13057","K13057",2,"treT; trehalose synthase [EC:2.4.1.245]"
"KO:K13089","K13089",2,"ILF2; interleukin enhancer-binding factor 2"
"KO:K13113","K13113",2,"UBL5, HUB1; ubiquitin-like protein 5"
"KO:K13121","K13121",2,"FRA10AC1; protein FRA10AC1"
"KO:K13151","K13151",2,"SNUPN, RNUT1; snurportin-1"
"KO:K13168","K13168",2,"CLASRP, SFRS16; CLK4-associating serine/arginine rich protein"
"KO:K13206","K13206",2,"CCDC55; coiled-coil domain-containing protein 55"
"KO:K13208","K13208",2,"ELAVL2_3_4; ELAV like protein 2/3/4"
"KO:K13220","K13220",2,"WBP4, FBP21; WW domain-binding protein 4"
"KO:K13238","K13238",2,"ECI1, DCI; Delta3-Delta2-enoyl-CoA isomerase [EC:5.3.3.8]"
"KO:K13292","K13292",2,"lgt, umpA; phosphatidylglycerol---prolipoprotein diacylglyceryl transferase [EC:2.5.1.145]"
"KO:K13304","K13304",2,"SGK3; serum/glucocorticoid-regulated kinase 3 [EC:2.7.11.1]"
"KO:K13384","K13384",2,"CNMT; (RS)-1-benzyl-1,2,3,4-tetrahydroisoquinoline N-methyltransferase [EC:2.1.1.115 2.1.1.140]"
"KO:K13515","K13515",2,"LPCAT3, MBOAT5; lysophospholipid acyltransferase 5 [EC:2.3.1.23 2.3.1.-]"
"KO:K13582","K13582",2,"podJ; localization factor PodJL"
"KO:K13583","K13583",2,"gcrA; GcrA cell cycle regulator"
"KO:K13599","K13599",2,"ntrX; two-component system, NtrC family, nitrogen regulation response regulator NtrX"
"KO:K13647","K13647",2,"PLODN; procollagen-lysine,2-oxoglutarate 5-dioxygenase, invertebrate [EC:1.14.11.4]"
"KO:K13735","K13735",2,"yeeJ; adhesin/invasin"
"KO:K13761","K13761",2,"PDE9; high affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9 [EC:3.1.4.35]"
"KO:K13766","K13766",2,"liuC; methylglutaconyl-CoA hydratase [EC:4.2.1.18]"
"KO:K13776","K13776",2,"atuH; citronellyl-CoA synthetase [EC:6.2.1.-]"
"KO:K13821","K13821",2,"putA; RHH-type transcriptional regulator, proline utilization regulon repressor / proline dehydrogenase / delta 1-pyrroline-5-carboxylate dehydrogenase [EC:1.5.5.2 1.2.1.88]"
"KO:K13850","K13850",2,"PFEMP1; erythrocyte membrane protein 1"
"KO:K13912","K13912",2,"DMBT1; deleted in malignant brain tumors 1 protein"
"KO:K14023","K14023",2,"HRD3; ERAD-associated E3 ubiquitin-protein ligase component HRD3"
"KO:K14054","K14054",2,"mpaA; murein peptide amidase A"
"KO:K14079","K14079",2,"PAPD4, GLD2; poly(A) RNA polymerase GLD2 [EC:2.7.7.19]"
"KO:K14133","K14133",2,"CDPNPT; cyclic dipeptide N-dimethylallyltransferase [EC:2.5.1.-]"
"KO:K14156","K14156",2,"CHK; choline/ethanolamine kinase [EC:2.7.1.32 2.7.1.82]"
"KO:K14163","K14163",2,"EPRS; bifunctional glutamyl/prolyl-tRNA synthetase [EC:6.1.1.17 6.1.1.15]"
"KO:K14189","K14189",2,"dltE; uncharacterized oxidoreductase [EC:1.-.-.-]"
"KO:K14252","K14252",2,"oxyL; 6-methylpretetramide 4-monooxygenase / 4-hydroxy-6-methylpretetramide 12a-monooxygenase [EC:1.14.13.232 1.14.13.233]"
"KO:K14265","K14265",2,"Tam1; tryptophan aminotransferase [EC:2.6.1.27]"
"KO:K14427","K14427",2,"SLC12A4_6, KCC1_3; solute carrier family 12 (potassium/chloride transporter), member 4/6"
"KO:K14435","K14435",2,"CHD5; chromodomain-helicase-DNA-binding protein 5 [EC:5.6.2.-]"
"KO:K14438","K14438",2,"CHD9; chromodomain-helicase-DNA-binding protein 9 [EC:5.6.2.-]"
"KO:K14445","K14445",2,"SLC13A2_3_5; solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2/3/5"
"KO:K14535","K14535",2,"TAF9; transcription initiation factor TFIID subunit 9"
"KO:K14611","K14611",2,"SLC23A1, SVCT1; solute carrier family 23 (nucleobase transporter), member 1"
"KO:K14621","K14621",2,"PLB1, PLB; phospholipase B1, membrane-associated [EC:3.1.1.4 3.1.1.5]"
"KO:K14649","K14649",2,"TAF8; transcription initiation factor TFIID subunit 8"
"KO:K14727","K14727",2,"pcaL; 3-oxoadipate enol-lactonase / 4-carboxymuconolactone decarboxylase [EC:3.1.1.24 4.1.1.44]"
"KO:K14760","K14760",2,"AAE14; o-succinylbenzoate---CoA ligase [EC:6.2.1.26]"
"KO:K14770","K14770",2,"BUD21, UTP16; U3 small nucleolar RNA-associated protein 16"
"KO:K14812","K14812",2,"NGL2; RNA exonuclease NGL2 [EC:3.1.-.-]"
"KO:K14966","K14966",2,"HCFC; host cell factor"
"KO:K15010","K15010",2,"HOMER; homer"
"KO:K15050","K15050",2,"EXOG; nuclease EXOG, mitochondrial"
"KO:K15067","K15067",2,"amnD; 2-aminomuconate deaminase [EC:3.5.99.5]"
"KO:K15124","K15124",2,"SLC25A48; solute carrier family 25, member 48"
"KO:K15144","K15144",2,"MED1; mediator of RNA polymerase II transcription subunit 1"
"KO:K15146","K15146",2,"MED4; mediator of RNA polymerase II transcription subunit 4"
"KO:K15320","K15320",2,"ATX, chlB1, mdpB; 6-methylsalicylic acid synthase [EC:2.3.1.165]"
"KO:K15370","K15370",2,"PLCL2; inactive phospholipase C-like protein 2"
"KO:K15372","K15372",2,"toa; taurine---2-oxoglutarate transaminase [EC:2.6.1.55]"
"KO:K15382","K15382",2,"SLC50A, SWEET; solute carrier family 50 (sugar transporter)"
"KO:K15400","K15400",2,"HHT1; omega-hydroxypalmitate O-feruloyl transferase [EC:2.3.1.188]"
"KO:K15421","K15421",2,"SERGEF; secretion-regulating guanine nucleotide exchange factor"
"KO:K15516","K15516",2,"FMR; fragile X mental retardation protein"
"KO:K15537","K15537",2,"AGMO; alkylglycerol monooxygenase [EC:1.14.16.5]"
"KO:K15640","K15640",2,"K15640, phoE; uncharacterized phosphatase"
"KO:K15659","K15659",2,"ofaB, arfB; arthrofactin-type cyclic lipopeptide synthetase B"
"KO:K15687","K15687",2,"MKRN; E3 ubiquitin-protein ligase makorin [EC:2.3.2.27]"
"KO:K15738","K15738",2,"uup; ABC transport system ATP-binding/permease protein"
"KO:K15779","K15779",2,"PGM2; phosphoglucomutase / phosphopentomutase [EC:5.4.2.2 5.4.2.7]"
"KO:K15781","K15781",2,"serB-plsC; putative phosphoserine phosphatase / 1-acylglycerol-3-phosphate O-acyltransferase [EC:3.1.3.3 2.3.1.51]"
"KO:K15904","K15904",2,"kae1-bud32; bifunctional N6-L-threonylcarbamoyladenine synthase / protein kinase Bud32 [EC:2.3.1.234 2.7.11.1]"
"KO:K15925","K15925",2,"XYL1; alpha-D-xyloside xylohydrolase [EC:3.2.1.177]"
"KO:K16095","K16095",2,"bacC; bacitracin synthase 3"
"KO:K16129","K16129",2,"mcyE; microcystin synthetase protein McyE"
"KO:K16200","K16200",2,"dppB1; dipeptide transport system permease protein"
"KO:K16264","K16264",2,"czcD, zitB; cobalt-zinc-cadmium efflux system protein"
"KO:K16275","K16275",2,"BAH, NLA; E3 ubiquitin-protein ligase BAH [EC:2.3.2.27]"
"KO:K16276","K16276",2,"K16276, BTS; zinc finger protein-like protein"
"KO:K16307","K16307",2,"CDC42BP; serine/threonine-protein kinase MRCK [EC:2.7.11.1]"
"KO:K16308","K16308",2,"CIT; citron Rho-interacting kinase [EC:2.7.11.1]"
"KO:K16309","K16309",2,"MASTL, GW; serine/threonine-protein kinase greatwall [EC:2.7.11.1]"
"KO:K16311","K16311",2,"SIK2; serine/threonine-protein kinase SIK2 [EC:2.7.11.1]"
"KO:K16384","K16384",2,"amphC, nysC; polyene macrolide polyketide synthase"
"KO:K16461","K16461",2,"CEP135, CEP4; centrosomal protein CEP135"
"KO:K16462","K16462",2,"CEP164; centrosomal protein CEP164"
"KO:K16529","K16529",2,"ARHGEF13; A-kinase anchor protein 13"
"KO:K16551","K16551",2,"AKAP9, AKAP350; A-kinase anchor protein 9"
"KO:K16582","K16582",2,"TTLL6_13; tubulin polyglutamylase TTLL6/13 [EC:6.3.2.61]"
"KO:K16599","K16599",2,"TTLL1; tubulin polyglutamylase TTLL1 [EC:6.3.2.61]"
"KO:K16600","K16600",2,"TTLL2; tubulin polyglutamylase TTLL2 [EC:6.3.2.-]"
"KO:K16601","K16601",2,"TTLL4; tubulin polyglutamylase TTLL4 [EC:6.3.2.62]"
"KO:K16615","K16615",2,"PARP7; actin-related protein 7, plant"
"KO:K16628","K16628",2,"COL7A; collagen type VII alpha"
"KO:K16680","K16680",2,"ED; echinoid"
"KO:K16738","K16738",2,"NDE1, NUDE; nuclear distribution protein NudE"
"KO:K16753","K16753",2,"CCDC34; coiled-coil domain-containing protein 34"
"KO:K16808","K16808",2,"NUMA1; nuclear mitotic apparatus protein 1"
"KO:K16874","K16874",2,"hmfF; 2,5-furandicarboxylate decarboxylase 1"
"KO:K16889","K16889",2,"CATSPER1; cation channel sperm-associated protein 1"
"KO:K16890","K16890",2,"CATSPER2; cation channel sperm-associated protein 2"
"KO:K17064","K17064",2,"ddh; D-2-hydroxyacid dehydrogenase (NADP+) [EC:1.1.1.272]"
"KO:K17228","K17228",2,"sfnG; dimethylsulfone monooxygenase [EC:1.14.14.35]"
"KO:K17335","K17335",2,"NFAT5; nuclear factor of activated T-cells 5"
"KO:K17434","K17434",2,"MRPL53; large subunit ribosomal protein L53"
"KO:K17452","K17452",2,"AEBP2; zinc finger protein AEBP2"
"KO:K17535","K17535",2,"TNNI3K; serine/threonine-protein kinase TNNI3K [EC:2.7.11.1]"
"KO:K17585","K17585",2,"NA"
"KO:K17647","K17647",2,"VRDA; versiconal hemiacetal acetate reductase [EC:1.1.1.353]"
"KO:K17667","K17667",2,"PET111; protein PET111, mitochondrial"
"KO:K17703","K17703",2,"SIPA1L3, SPAL3; signal-induced proliferation-associated 1 like protein 3"
"KO:K17734","K17734",2,"aprX; serine protease AprX [EC:3.4.21.-]"
"KO:K17744","K17744",2,"GalDH; L-galactose dehydrogenase [EC:1.1.1.316]"
"KO:K17751","K17751",2,"MYH6_7; myosin heavy chain 6/7"
"KO:K17777","K17777",2,"TIM9; mitochondrial import inner membrane translocase subunit TIM9"
"KO:K17916","K17916",2,"KIF16B, SNX23; kinesin family member 16B"
"KO:K18182","K18182",2,"COX16; cytochrome c oxidase assembly protein subunit 16"
"KO:K18283","K18283",2,"PDE2A; cGMP-dependent 3',5'-cyclic phosphodiesterase [EC:3.1.4.17]"
"KO:K18402","K18402",2,"PHF20; PHD finger protein 20"
"KO:K18425","K18425",2,"dhaa; 3-hydroxy-D-aspartate aldolase [EC:4.1.3.41]"
"KO:K18438","K18438",2,"PDE10; cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10 [EC:3.1.4.17 3.1.4.35]"
"KO:K18481","K18481",2,"mas; Mce-associated membrane protein"
"KO:K18647","K18647",2,"ANP32B; acidic leucine-rich nuclear phosphoprotein 32 family member B"
"KO:K18674","K18674",2,"GALK2; N-acetylgalactosamine kinase [EC:2.7.1.157]"
"KO:K18817","K18817",2,"hph; hygromycin-B 4-O-kinase [EC:2.7.1.163]"
"KO:K19183","K19183",2,"FGAFS; festuclavine dehydrogenase [EC:1.5.1.44]"
"KO:K19365","K19365",2,"BSCL2; seipin"
"KO:K19369","K19369",2,"HSPB11; heat shock protein beta-11"
"KO:K19372","K19372",2,"DNAJC27; DnaJ homolog subfamily C member 27"
"KO:K19415","K19415",2,"PHF8, JHDM1F; [histone H3]-dimethyl-L-lysine9 demethylase [EC:1.14.11.65 1.14.11.-]"
"KO:K19502","K19502",2,"ANO8, TMEM16H; anoctamin-8"
"KO:K19519","K19519",2,"TGFBI, BIGH3; transforming growth factor-beta-induced protein"
"KO:K19532","K19532",2,"LBR; Delta14-sterol reductase (lamin-B receptor) [EC:1.3.1.70]"
"KO:K19538","K19538",2,"RP1; retinitis pigmentosa 1"
"KO:K19654","K19654",2,"CPR-C2; 2-dehydropantolactone reductase [EC:1.1.1.358]"
"KO:K19705","K19705",2,"PTC4; protein phosphatase PTC4 [EC:3.1.3.16]"
"KO:K19752","K19752",2,"DNAAF3, PF22; dynein axonemal assembly factor 3"
"KO:K19757","K19757",2,"RSPH9; radial spoke head protein 9"
"KO:K00028","K00028",1,"E1.1.1.39; malate dehydrogenase (decarboxylating) [EC:1.1.1.39]"
"KO:K00054","K00054",1,"mvaA; hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]"
"KO:K00060","K00060",1,"tdh; threonine 3-dehydrogenase [EC:1.1.1.103]"
"KO:K00068","K00068",1,"srlD; sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]"
"KO:K00078","K00078",1,"DHDH; dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]"
"KO:K00090","K00090",1,"ghrB; glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]"
"KO:K00098","K00098",1,"idnD; L-idonate 5-dehydrogenase [EC:1.1.1.264]"
"KO:K00109","K00109",1,"L2HGDH; 2-hydroxyglutarate dehydrogenase [EC:1.1.99.2]"
"KO:K00123","K00123",1,"fdoG, fdhF, fdwA; formate dehydrogenase major subunit [EC:1.17.1.9]"
"KO:K00138","K00138",1,"aldB; aldehyde dehydrogenase [EC:1.2.1.-]"
"KO:K00141","K00141",1,"xylC; benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28]"
"KO:K00145","K00145",1,"argC; N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]"
"KO:K00174","K00174",1,"korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]"
"KO:K00185","K00185",1,"dmsC; dimethyl sulfoxide reductase membrane subunit"
"KO:K00208","K00208",1,"fabI; enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]"
"KO:K00216","K00216",1,"entA; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]"
"KO:K00217","K00217",1,"E1.3.1.32; maleylacetate reductase [EC:1.3.1.32]"
"KO:K00243","K00243",1,"K00243; uncharacterized protein"
"KO:K00244","K00244",1,"frdA; fumarate reductase flavoprotein subunit [EC:1.3.5.4]"
"KO:K00272","K00272",1,"DDO; D-aspartate oxidase [EC:1.4.3.1]"
"KO:K00284","K00284",1,"GLU, gltS; glutamate synthase (ferredoxin) [EC:1.4.7.1]"
"KO:K00289","K00289",1,"ALDH1L; formyltetrahydrofolate dehydrogenase [EC:1.5.1.6]"
"KO:K00324","K00324",1,"pntA; H+-translocating NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2 7.1.1.1]"
"KO:K00325","K00325",1,"pntB; H+-translocating NAD(P) transhydrogenase subunit beta [EC:1.6.1.2 7.1.1.1]"
"KO:K00328","K00328",1,"NA"
"KO:K00329","K00329",1,"NA"
"KO:K00341","K00341",1,"nuoL; NADH-quinone oxidoreductase subunit L [EC:7.1.1.2]"
"KO:K00359","K00359",1,"qorA; NADPH:quinone reductase [EC:1.6.5.5]"
"KO:K00391","K00391",1,"NA"
"KO:K00397","K00397",1,"NA"
"KO:K00406","K00406",1,"ccoP; cytochrome c oxidase cbb3-type subunit III"
"KO:K00425","K00425",1,"cydA; cytochrome bd ubiquinol oxidase subunit I [EC:7.1.1.7]"
"KO:K00426","K00426",1,"cydB; cytochrome bd ubiquinol oxidase subunit II [EC:7.1.1.7]"
"KO:K00434","K00434",1,"E1.11.1.11; L-ascorbate peroxidase [EC:1.11.1.11]"
"KO:K00454","K00454",1,"LOX2S; lipoxygenase [EC:1.13.11.12]"
"KO:K00464","K00464",1,"diox1; all-trans-8'-apo-beta-carotenal 15,15'-oxygenase [EC:1.13.11.75]"
"KO:K00478","K00478",1,"HR; [histone H3]-dimethyl-L-lysine9 demethylase [EC:1.14.11.65]"
"KO:K00479","K00479",1,"gbcA; glycine betaine catabolism A"
"KO:K00499","K00499",1,"CMO; choline monooxygenase [EC:1.14.15.7]"
"KO:K00501","K00501",1,"TH; tyrosine 3-monooxygenase [EC:1.14.16.2]"
"KO:K00502","K00502",1,"TPH1_2; tryptophan 5-monooxygenase [EC:1.14.16.4]"
"KO:K00508","K00508",1,"E1.14.19.3; linoleoyl-CoA desaturase [EC:1.14.19.3]"
"KO:K00529","K00529",1,"hcaD; 3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component [EC:1.18.1.3]"
"KO:K00537","K00537",1,"arsC; arsenate reductase (glutaredoxin) [EC:1.20.4.1]"
"KO:K00569","K00569",1,"TPMT, tpmT; thiopurine S-methyltransferase [EC:2.1.1.67]"
"KO:K00570","K00570",1,"pmtA; phosphatidylethanolamine/phosphatidyl-N-methylethanolamine N-methyltransferase [EC:2.1.1.17 2.1.1.71]"
"KO:K00588","K00588",1,"E2.1.1.104; caffeoyl-CoA O-methyltransferase [EC:2.1.1.104]"
"KO:K00613","K00613",1,"GATM; glycine amidinotransferase [EC:2.1.4.1]"
"KO:K00635","K00635",1,"tgs, wax-dgat; diacylglycerol O-acyltransferase / wax synthase [EC:2.3.1.20 2.3.1.75]"
"KO:K00655","K00655",1,"plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]"
"KO:K00662","K00662",1,"aacC; aminoglycoside 3-N-acetyltransferase [EC:2.3.1.81]"
"KO:K00675","K00675",1,"nhoA; N-hydroxyarylamine O-acetyltransferase [EC:2.3.1.118]"
"KO:K00676","K00676",1,"NA"
"KO:K00677","K00677",1,"lpxA; UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]"
"KO:K00726","K00726",1,"MGAT1; alpha-1,3-mannosyl-glycoprotein beta-1,2-N-acetylglucosaminyltransferase [EC:2.4.1.101]"
"KO:K00788","K00788",1,"thiE; thiamine-phosphate pyrophosphorylase [EC:2.5.1.3]"
"KO:K00824","K00824",1,"dat; D-alanine transaminase [EC:2.6.1.21]"
"KO:K00839","K00839",1,"pucG; (S)-ureidoglycine---glyoxylate transaminase [EC:2.6.1.112]"
"KO:K00843","K00843",1,"SWNA; swainsonine biosynthesis aminotransferase SwnA [EC:2.6.1.-]"
"KO:K00871","K00871",1,"PHKG; phosphorylase kinase gamma subunit [EC:2.7.11.19]"
"KO:K00875","K00875",1,"rbtK, FGGY; D-ribulokinase [EC:2.7.1.47]"
"KO:K00882","K00882",1,"fruK; 1-phosphofructokinase [EC:2.7.1.56]"
"KO:K00884","K00884",1,"NAGK, nagK; N-acetylglucosamine kinase [EC:2.7.1.59]"
"KO:K00891","K00891",1,"aroK, aroL; shikimate kinase [EC:2.7.1.71]"
"KO:K00895","K00895",1,"pfp, PFP; diphosphate-dependent phosphofructokinase [EC:2.7.1.90]"
"KO:K00901","K00901",1,"dgkA, DGK; diacylglycerol kinase (ATP) [EC:2.7.1.107]"
"KO:K00903","K00903",1,"epsB, capB; protein-tyrosine kinase [EC:2.7.10.3]"
"KO:K00905","K00905",1,"BCKDK; [3-methyl-2-oxobutanoate dehydrogenase (acetyl-transferring)] kinase [EC:2.7.11.4]"
"KO:K00917","K00917",1,"lacC; tagatose 6-phosphate kinase [EC:2.7.1.144]"
